subj,freq,ptype,dur,itemN,rt,error,ID
2,LF,rel,33ms,41,436.8,0,cm
2,LF,rel,33ms,42,591.6,0,cm
2,LF,rel,33ms,43,427.9,0,cm
2,LF,rel,33ms,44,578.1,0,cm
2,LF,rel,33ms,45,461.8,0,cm
2,LF,rel,33ms,46,527.4,0,cm
2,LF,rel,33ms,47,441.6,0,cm
2,LF,rel,33ms,48,598.4,0,cm
2,HF,unrel,66ms,49,443.1,0,cm
2,HF,unrel,66ms,50,506.2,0,cm
2,HF,unrel,66ms,51,495.6,0,cm
2,HF,unrel,66ms,52,537.3,0,cm
2,HF,unrel,66ms,53,404.3,0,cm
2,HF,unrel,66ms,54,446.3,0,cm
2,HF,unrel,66ms,55,496.2,0,cm
2,HF,unrel,66ms,56,572.6,0,cm
2,HF,unrel,66ms,57,542.9,1,cm
2,HF,unrel,66ms,58,502.4,0,cm
2,HF,unrel,66ms,59,513.9,0,cm
2,HF,unrel,66ms,60,494.8,0,cm
2,LF,unrel,66ms,73,406.7,0,cm
2,LF,unrel,66ms,74,590.3,0,cm
2,LF,unrel,66ms,75,620.2,1,cm
2,LF,unrel,66ms,76,639.9,1,cm
2,LF,unrel,66ms,77,456.2,0,cm
2,LF,unrel,66ms,78,439,0,cm
2,LF,unrel,66ms,79,504.4,0,cm
2,LF,unrel,66ms,80,460.8,0,cm
2,LF,unrel,66ms,81,523.1,0,cm
2,LF,unrel,66ms,82,592.1,0,cm
2,LF,unrel,66ms,83,655.6,0,cm
2,LF,unrel,66ms,84,583.8,0,cm
2,HF,unrel,33ms,61,417.9,0,cm
2,HF,unrel,33ms,62,430.9,0,cm
2,HF,unrel,33ms,63,609.5,0,cm
2,HF,unrel,33ms,64,444.6,0,cm
2,HF,unrel,33ms,65,544.5,0,cm
2,HF,unrel,33ms,66,559.7,0,cm
2,HF,unrel,33ms,67,477.1,0,cm
2,HF,unrel,33ms,68,553.4,0,cm
2,HF,unrel,33ms,69,463.9,1,cm
2,HF,unrel,33ms,70,471,0,cm
2,HF,unrel,33ms,71,606.4,0,cm
2,HF,unrel,33ms,72,561.1,0,cm
2,LF,unrel,33ms,85,480.9,0,cm
2,LF,unrel,33ms,86,432.6,0,cm
2,LF,unrel,33ms,87,583.9,0,cm
2,LF,unrel,33ms,88,523.4,0,cm
2,LF,unrel,33ms,89,565,0,cm
2,LF,unrel,33ms,90,712.6,0,cm
2,LF,unrel,33ms,91,511.6,0,cm
2,LF,unrel,33ms,92,390,0,cm
2,LF,unrel,33ms,93,556.9,0,cm
2,LF,unrel,33ms,94,583.3,0,cm
2,LF,unrel,33ms,95,503,0,cm
2,LF,unrel,33ms,96,461.8,1,cm
3,HF,rel,66ms,1,389.9,0,dj
3,HF,rel,66ms,2,635.6,0,dj
3,HF,rel,66ms,3,377.6,0,dj
3,HF,rel,66ms,4,343.5,0,dj
3,HF,rel,66ms,5,333.4,0,dj
3,HF,rel,66ms,6,329.1,0,dj
3,HF,rel,66ms,7,569.3,0,dj
3,HF,rel,66ms,8,373.2,0,dj
3,HF,rel,66ms,9,417.2,1,dj
3,HF,rel,66ms,10,352.8,0,dj
3,HF,rel,66ms,11,407.2,0,dj
3,HF,rel,66ms,12,361.1,0,dj
3,LF,rel,66ms,25,477.4,0,dj
3,LF,rel,66ms,26,477.8,0,dj
3,LF,rel,66ms,27,635.6,0,dj
3,LF,rel,66ms,28,364.5,0,dj
3,LF,rel,66ms,29,520.6,0,dj
3,LF,rel,66ms,30,340.6,1,dj
3,LF,rel,66ms,31,396.9,0,dj
3,LF,rel,66ms,32,565.4,1,dj
3,LF,rel,66ms,33,496.1,0,dj
3,LF,rel,66ms,34,477.5,0,dj
3,LF,rel,66ms,35,467.4,0,dj
3,LF,rel,66ms,36,437.5,0,dj
3,HF,rel,33ms,13,473.4,0,dj
3,HF,rel,33ms,14,433.2,0,dj
3,HF,rel,33ms,15,448.6,0,dj
3,HF,rel,33ms,16,413,0,dj
3,HF,rel,33ms,17,438.2,0,dj
3,HF,rel,33ms,18,419.5,0,dj
3,HF,rel,33ms,19,496.2,0,dj
3,HF,rel,33ms,20,438.9,0,dj
3,HF,rel,33ms,21,491.6,0,dj
3,HF,rel,33ms,22,463,0,dj
3,HF,rel,33ms,23,417.1,0,dj
3,HF,rel,33ms,24,541,0,dj
3,LF,rel,33ms,37,475.3,1,dj
3,LF,rel,33ms,38,455.1,0,dj
3,LF,rel,33ms,39,419.8,0,dj
3,LF,rel,33ms,40,485.7,0,dj
3,LF,rel,33ms,41,514,0,dj
3,LF,rel,33ms,42,415.4,1,dj
3,LF,rel,33ms,43,428,0,dj
3,LF,rel,33ms,44,487.9,0,dj
3,LF,rel,33ms,45,351.2,1,dj
3,LF,rel,33ms,46,483.4,0,dj
3,LF,rel,33ms,47,445.7,0,dj
3,LF,rel,33ms,48,430.8,0,dj
3,HF,unrel,66ms,49,459.5,0,dj
3,HF,unrel,66ms,50,457,0,dj
3,HF,unrel,66ms,51,369.5,0,dj
3,HF,unrel,66ms,52,446.9,0,dj
3,HF,unrel,66ms,53,408.4,0,dj
3,HF,unrel,66ms,54,396.4,0,dj
